"","work","needs_access","has_car","mobility","citysize","income","race","gender","children","age","educ"
"399","2","0","1","2","0","45000","0","0","2","42","12"
"402","2","0","1","0","1","11250","0","1","3","66","12"
"408","2","0","1","0","1","37500","0","0","3","32","14"
"412","2","0","1","0","1","45000","1","0","4","36","13"
"413","1","0","1","2","1","7500","0","0","2","74","16"
"414","2","0","1","2","1","27500","0","1","1","41","12"
"416","2","0","1","0","2","7500","0","0","0","40","12"
"425","2","0","1","0","2","11250","0","0","0","39","12"
"428","2","0","1","0","2","13750","0","1","3","26","12"
"430","2","0","1","0","2","5500","0","1","0","40","10"
"432","2","0","1","1","2","37500","0","0","0","57","14"
"434","0","0","1","1","0","45000","0","0","0","48","12"
"439","2","0","1","1","3","27500","0","1","1","54","12"
"443","2","0","1","1","3","32500","1","1","2","34","14"
"446","2","0","1","1","3","23750","0","0","1","31","12"
"448","2","0","1","0","1","45000","0","0","2","44","14"
"449","2","0","1","1","1","55000","0","0","4","43","12"
"451","2","0","1","0","1","32500","0","0","1","42","12"
"454","2","0","1","0","1","55000","0","0","2","53","12"
"456","2","0","1","0","1","21250","0","0","4","55","13"
"458","2","0","1","0","2","27500","0","0","2","27","13"
"461","2","0","1","0","2","16250","0","1","3","40","12"
"462","1","0","1","1","2","9000","0","0","0","20","13"
"465","2","0","1","0","2","55000","0","1","0","46","16"
"466","2","0","1","1","2","45000","1","1","2","35","15"
"469","2","0","1","0","2","18750","0","1","3","28","13"
"473","2","0","1","2","2","27500","0","1","0","28","18"
"474","2","0","1","0","2","23750","0","1","3","67","14"
"475","2","0","1","0","2","11250","0","0","0","25","15"
"480","1","0","1","2","0","18750","1","1","2","30","14"
"481","1","0","1","0","0","7500","0","1","1","57","14"
"484","2","0","1","0","0","21250","0","1","2","57","16"
"487","2","0","1","1","2","11250","1","1","3","40","12"
"489","1","0","1","2","0","18750","1","0","1","26","3"
"490","2","1","1","0","2","45000","0","0","0","57","20"
"493","1","0","1","1","0","45000","0","1","3","50","18"
"499","2","0","1","1","2","32500","0","1","2","58","12"
"500","2","0","1","2","0","21250","0","0","1","35","13"
"501","1","0","1","1","0","16250","0","0","1","22","12"
"504","2","0","1","0","0","23750","0","0","2","53","16"
"507","2","0","1","0","2","11250","1","0","4","63","12"
"513","1","0","0","0","2","21250","1","1","4","55","13"
"515","2","0","1","0","2","32500","0","0","1","39","14"
"519","2","0","1","0","2","23750","0","1","0","29","15"
"524","2","0","1","0","1","16250","0","1","4","28","12"
"529","2","0","1","1","3","23750","1","0","3","30","12"
"530","2","0","1","2","3","21250","1","1","2","37","16"
"532","2","0","1","1","3","21250","0","1","0","36","15"
"533","1","0","1","2","3","18750","1","0","0","31","20"
"534","2","0","1","1","3","55000","0","0","3","40","3"
"537","2","0","0","2","2","32500","0","0","0","44","14"
"547","2","0","1","1","0","32500","1","1","3","39","13"
"550","2","0","1","1","2","27500","1","1","2","53","12"
"551","2","1","1","0","2","23750","0","1","0","31","20"
"558","1","0","1","0","3","11250","0","1","1","45","11"
"562","2","0","1","0","3","45000","0","0","2","49","12"
"565","1","0","1","1","3","13750","0","1","2","31","18"
"569","2","0","1","1","3","37500","0","1","0","29","16"
"570","2","0","1","0","3","7500","1","0","0","19","10"
"571","2","0","1","2","3","55000","1","1","0","36","16"
"580","2","0","1","1","2","55000","0","0","3","38","12"
"581","2","1","1","1","2","16250","1","0","3","31","12"
"584","2","0","1","2","2","37500","0","0","3","47","12"
"588","2","0","1","2","2","45000","0","0","4","61","15"
"599","1","0","1","2","2","16250","0","1","2","39","18"
"603","0","0","1","1","1","37500","0","1","2","52","13"
"606","2","1","1","1","1","27500","0","0","2","51","15"
"611","2","0","1","1","1","32500","0","0","0","48","12"
"612","2","0","1","1","1","11250","0","1","0","21","14"
"615","2","0","0","1","1","45000","0","1","1","50","12"
"616","1","0","1","0","2","23750","0","1","0","30","15"
"619","2","0","1","0","2","27500","0","1","0","26","14"
"620","2","0","1","2","2","7500","0","0","0","34","16"
"622","2","0","1","0","2","55000","0","1","0","44","15"
